,Time,Throttle,Brake,Vel,Accel,Gear,RPM
13387,173.566701889,0.6,0.0,7.59690380096,0.00675174500793,1.0,3101.15185547
13388,173.579999924,0.6,0.0,7.59696006775,0.00675180833787,1.0,3101.16723633
13389,173.592391968,0.6,0.0,7.59707069397,0.00669459206983,1.0,3101.19750977
13390,173.604949951,0.6,0.0,7.59712648392,0.00663729384542,1.0,3101.21289062
13391,173.617521048,0.6,0.0,7.59723711014,0.00663731247187,1.0,3101.24389648
13392,173.630174875,0.6,0.0,7.59729194641,0.0066371448338,1.0,3101.25927734
13393,173.643697977,0.6,0.0,7.59740161896,0.0065802060999,1.0,3101.2890625
13394,173.656965971,0.6,0.0,7.59745645523,0.00658031040803,1.0,3101.30419922
13395,173.669555902,0.6,0.0,7.5975651741,0.00652296422049,1.0,3101.33447266
13396,173.682132006,0.6,0.0,7.59761953354,0.00652294838801,1.0,3101.34912109
13397,173.695382833,0.6,0.0,7.59772825241,0.0065229604952,1.0,3101.37841797
13398,173.708915949,0.6,0.0,7.59783554077,0.00646567391232,1.0,3101.40795898
13399,173.721493959,0.6,0.0,7.59788942337,0.00640856008977,1.0,3101.42211914
13400,173.735110998,0.6,0.0,7.59799623489,0.0064656115137,1.0,3101.45117188
13401,173.748801947,0.6,0.0,7.59804916382,0.00635138060898,1.0,3101.46557617
13402,173.761550903,0.6,0.0,7.5981554985,0.00640864018351,1.0,3101.49487305
13403,173.774168015,0.6,0.0,7.59826087952,0.0063513671048,1.0,3101.52368164
13404,173.787323952,0.6,0.0,7.59831380844,0.00629409309477,1.0,3101.5378418
13405,173.800200939,0.6,0.0,7.59841871262,0.00629403069615,1.0,3101.56665039
13406,173.813383818,0.6,0.0,7.5984711647,0.00629386631772,1.0,3101.58081055
13407,173.826211929,0.6,0.0,7.59857463837,0.00623684283346,1.0,3101.60913086
13408,173.839598894,0.6,0.0,7.59862661362,0.00617976440117,1.0,3101.62304688
13409,173.854496002,0.6,0.0,7.59873056412,0.0062367725186,1.0,3101.65161133
13410,173.866746902,0.6,0.0,7.59883260727,0.00612238282338,1.0,3101.67944336
13411,173.879863024,0.6,0.0,7.59888315201,0.00612227246165,1.0,3101.69360352
13412,173.892441988,0.6,0.0,7.59898424149,0.00606532720849,1.0,3101.72119141
13413,173.905251026,0.6,0.0,7.59903430939,0.00606517167762,1.0,3101.73486328
13414,173.918220997,0.6,0.0,7.59913444519,0.00600802153349,1.0,3101.76269531
13415,173.930649042,0.6,0.0,7.59918451309,0.00600784039125,1.0,3101.77636719
13416,173.944206953,0.6,0.0,7.59928417206,0.00600807322189,1.0,3101.80322266
13417,173.956565857,0.6,0.0,7.59933328629,0.00595088303089,1.0,3101.81689453
13418,173.969288826,0.6,0.0,7.59943246841,0.00595077639446,1.0,3101.84399414
